ts,temp,hum,light,airq,pm25,pm10
315,1532356447,27,52.5,494.1,129.3,4,5
316,1532356746,27.3,55.1,465,105,4,5
317,1532357044,27.6,50.2,423.4,160.9,5,6
318,1532357342,27.4,49.8,430.9,130.1,3,4
319,1532357641,27.1,51.1,428.4,110.8,3,4
320,1532357940,26.9,51.1,348.1,102.2,7,8
321,1532358238,26.9,51.2,360.6,80.6,3,4
322,1532358537,26.8,51.4,345.6,68,1,2
323,1532358683,26.8,52.7,343.1,68,4,5
324,1532358836,26.9,51.6,348.1,83.4,1,2
325,1532359134,26.9,51.4,301.3,82.6,2,3
326,1532359432,27,51.1,291.7,84.6,3,4
327,1532359732,27,50.9,297,60.7,3,4
328,1532360030,27,51.1,349.3,72.7,4,5
329,1532360328,27,50.5,295.1,76.7,7,8
330,1532360627,27,50.1,295.1,65,4,5
331,1532360925,27,50.2,296.7,31.7,4,5
332,1532506784,24.7,61.7,1456.2,25,6,7
333,1532506784,25.1,57.8,1148.4,25,7,8
334,1532506784,25.2,57.6,1141.7,25,6,7
335,1532507081,25.1,57.3,1144.4,25,6,7
336,1532507379,25,57.2,1144.4,25,5,6
337,1532507678,24.8,57.1,1147,25,5,6
338,1532507977,24.6,57.4,1147,41.5,5,6
339,1532508275,24.5,57.7,1143,25,5,6
340,1532508573,24.4,57.4,1136.3,25,5,6
341,1532508872,24.2,57.5,1130.9,25,5,6
342,1532509170,24.2,57.5,1125.6,25,6,7
343,1532509469,24.3,56.8,1128.3,25,6,7
344,1532509768,24.4,56.1,1125.6,25,5,6
345,1532510066,24.6,55.5,1120.2,25,5,6
346,1532510364,24.7,55,1117.6,27.2,6,7
347,1532510664,24.8,54.5,1117.6,30.5,6,7
348,1532510963,24.9,54.2,1113.5,25,6,7
349,1532511262,25,53.8,1104.2,25,6,7
350,1532511560,25.1,53.8,1096.2,25,6,7
351,1532511859,25.1,53.4,1080.1,25,6,7
352,1532512157,25.2,53.3,1074.8,26,4,5
353,1532512456,25.2,53,1069.5,25,6,7
354,1532512754,25.3,52.9,1064.1,32.5,5,6
355,1532513052,25.3,52.6,1060.1,25,6,7
356,1532513352,25.2,52.4,1056.1,25,8,9
357,1532513650,25,52.5,1050.8,25,7,8
358,1532513948,24.8,52.6,423.4,25,8,9
359,1532514246,24.6,53,424.6,25,10,11
360,1532514546,24.5,53.4,418.3,25,8,9
361,1532514844,24.4,53.5,418.3,25,9,10
362,1532515143,24.3,53.4,415.8,25,9,10
363,1532515441,24.1,53.4,1037.5,25,8,9
364,1532515739,24,53.5,1029.5,25,8,9
365,1532516038,23.9,53.9,1029.5,25,8,9
366,1532516337,23.9,54.1,1028.2,25,9,10
367,1532516635,23.8,54.5,1013.6,25,8,9
368,1532516933,23.7,54.7,1022.9,25,8,9
369,1532517233,23.7,54.9,393.2,25,8,9
370,1532517531,23.6,55.1,390.7,25,9,10
371,1532517830,23.6,54.9,383.1,25,9,10
372,1532518128,23.6,56.1,369.3,25,8,9
373,1532518426,23.6,57.4,368.1,25,8,9
374,1532518726,23.7,57.6,380.6,53,8,9
375,1532519024,23.8,58.5,368.1,64.5,10,11
376,1532519322,23.9,58.7,370.6,84.5,8,9
377,1532519622,23.9,57.9,378.1,106.7,8,9
378,1532519920,24,57.3,1000.3,153.5,8,9
379,1532520219,24.1,57.2,987.1,179.4,8,9
380,1532520517,24.2,56.5,876.3,199,8,9
381,1532520815,24.3,55.4,980.4,241.4,8,9
382,1532521114,24.5,54.4,981.8,250,8,9
383,1532521413,24.5,54,958,250,8,9
384,1532521716,24.6,53.4,955.3,233.8,8,9
385,1532522010,24.5,53.7,948.7,235.4,8,9
386,1532522309,24.5,54.3,955.3,230.1,7,8
387,1532522608,24.6,54.1,958,239.3,8,9
388,1532522906,24.7,53.4,947.4,229,5,6
389,1532523204,24.7,53.2,965.9,237.5,7,8
390,1532523503,24.7,54.3,954,244.2,7,8
391,1532523802,24.7,55,952.7,234.6,7,8
392,1532524100,24.8,55.4,290.1,241.7,5,6
393,1532524399,24.7,56,299.2,214.6,7,8
394,1532524697,24.5,56.5,248,198.5,8,9
395,1532524996,24.5,56.4,345.6,194.6,7,8
396,1532525295,24.6,56.1,989.7,207,7,8
397,1532525593,24.5,56.2,968.5,191.4,5,6
398,1532525892,24.5,56.5,965.9,183.3,7,8
399,1532526191,24.6,56.2,942.1,185.6,6,7
400,1532526489,24.7,55.6,884.2,180.3,7,8
401,1532526788,24.6,55.3,950,208.4,6,7
402,1532527086,24.6,55.2,956.6,204.2,6,7
403,1532527384,24.7,54.9,964.6,174.9,6,7
404,1532527684,24.8,54.7,979.1,182.9,6,7
405,1532527983,24.8,54.6,907.8,154.5,7,8
406,1532528281,24.8,54.7,358.1,174.4,6,7
407,1532528579,24.8,54.5,270.6,160.8,6,7
408,1532528878,24.8,54.5,302.6,209.5,6,7
409,1532529178,24.8,54.6,964.6,191.1,7,8
410,1532529475,24.7,54.5,881.5,183.9,7,8
411,1532529773,24.7,54.5,952.7,178,6,7
412,1532530072,24.8,54.6,958,169.7,7,8
413,1532530371,24.9,54.4,955.3,180.1,6,7
414,1532530670,25,54.1,946.1,234.7,6,7
415,1532530969,25,53.9,928.9,215.3,6,7
416,1532531267,24.9,54,907.8,203.4,8,9
417,1532531566,24.6,54.4,884.2,163.6,6,7
418,1532531865,24.5,54.8,787.3,146.2,6,7
419,1532587349,24.6,54.6,800.4,181,6,7
420,1532587349,24.8,55.7,0,208.5,6,7
421,1532587349,25,55.6,0,250,6,7
422,1532587349,25.1,55.2,0,250,2,3
423,1532587349,25.2,55.1,0,250,2,3
424,1532587349,25.2,55.1,0,250,2,3
425,1532587349,25.2,55.1,0,250,2,3
426,1532587349,25.2,55,0,250,2,3
427,1532587349,25.2,55,0,250,2,3
428,1532587349,25.2,55,0,250,2,3
429,1532587349,25.2,55,0,241.9,2,3
430,1532587349,25.2,55,0,248.3,2,3
431,1532587349,25.2,55,0,241.8,2,3
432,1532587349,25.2,55,0,250,2,3
433,1532587349,25.1,55,0,250,2,3
434,1532587349,25,55.5,409.5,250,7,8
435,1532587366,25,55.3,405.7,211,7,8
436,1532587962,24.7,55.1,404.5,196.5,7,8
437,1532587962,24.6,54.8,403.2,178,6,7
438,1532588261,24.6,54.4,407,153.7,7,8
439,1532588560,24.5,54.1,405.7,144.6,8,9
440,1532588858,24.4,53.8,405.7,127.5,8,9
441,1532589157,24.4,53.7,389.4,122.8,7,8
442,1532589455,24.3,53.6,408.3,107.3,9,10
443,1532589754,24.4,53.6,405.7,99.7,7,8
444,1532590052,24.4,53.7,403.2,97.7,7,8
445,1532590350,24.4,54,405.7,89.8,7,8
446,1532590649,24.5,54.1,408.3,90.4,7,8
447,1532590948,24.5,54.4,393.2,62.7,7,8
448,1532591246,24.6,54.5,405.7,53.2,6,7
449,1532591544,24.6,55,400.7,61,11,12
450,1532591845,24.7,54.8,403.2,66.6,6,7
451,1532592143,24.8,54.9,403.2,67.4,7,8
452,1532592444,24.8,54.3,393.2,75,6,7
453,1532592739,24.9,54.4,389.4,76.3,6,7
454,1532593038,24.9,54.2,393.2,79.2,8,9
455,1532593338,25,53.7,410.8,88.1,9,10
456,1532593635,25,53.3,410.8,84.8,6,7
457,1532593933,25,52.9,412,92.7,9,10
458,1532594233,25,53,407,86.3,10,11
459,1532594532,25,52.9,405.7,100,9,10
460,1532594830,24.9,52.9,408.3,104.8,5,6
461,1532595128,24.9,52.7,413.3,90,5,6
462,1532595428,24.9,52.5,413.3,110.1,5,6
463,1532595726,24.8,52.3,413.3,107.2,5,6
464,1532596024,24.8,52.1,407,108.2,6,7
465,1532596323,24.8,52.2,410.8,109.4,5,6
466,1532596621,24.7,52.1,410.8,116.9,6,7
467,1532596919,24.7,53,413.3,82.5,8,9
468,1532597218,24.7,53.3,422.1,71.2,7,8
469,1532597517,24.7,53.4,424.6,60.7,7,8
470,1532597815,24.6,53.4,424.6,44.1,7,8
471,1532598114,24.5,53.4,423.4,33.3,8,9
472,1532598412,24.5,53.5,403.2,25,6,7
473,1532598711,24.4,54,418.3,25,7,8
474,1532599010,24.4,54.2,423.4,25,8,9
475,1532599308,24.4,54.5,420.8,25,8,9
476,1532599606,24.4,54.5,420.8,25,10,11
477,1532599905,24.4,54.8,420.8,25,9,10
478,1532600204,24.4,55.1,420.8,25,8,9
479,1532600502,24.4,55.3,420.8,25,8,9
480,1532600800,24.3,55.8,420.8,25,8,9
481,1532601099,24.4,56.1,418.3,25,8,9
482,1532601398,24.3,57.2,419.6,25,9,10
483,1532601697,24.3,57.7,424.6,28.3,8,9
484,1532601996,24.3,58,420.8,27,10,11
485,1532602294,24.3,58,415.8,25,8,9
486,1532602592,24.4,58.1,400.7,34,10,11
487,1532602891,24.4,57.9,402,30.5,10,11
488,1532603190,24.6,56.9,384.4,56.6,10,11
489,1532603488,24.5,56.6,358.1,68.8,10,11
490,1532603788,24.4,56.6,358.1,59.6,10,11
491,1532604085,24.3,56.8,358.1,51,10,11
492,1532604384,24.3,57,358.1,34.8,10,11
493,1532604682,24.3,57.1,359.3,30.7,9,10
494,1532604981,24.2,57.3,358.1,25,9,10
495,1532605280,24.2,57.4,355.6,25,9,10
496,1532605578,24.2,57.5,405.7,25,9,10
497,1532605877,24.3,58,0,51.9,9,10
498,1532682152,24,58.9,570.5,67.4,8,9
499,1532682152,24,56.4,54.4,94.5,8,9
500,1532682152,23.9,56.3,53.9,173.7,8,9
501,1532682448,23.8,56.2,55.1,237.8,8,9
502,1532682747,23.6,56.2,55.4,250,8,9
503,1532683046,23.5,56.3,56.2,227.6,8,9
504,1532683344,23.4,56.4,56.2,174,5,6
505,1532683643,23.4,56.3,56,153.5,5,6
506,1532683942,23.3,56.3,56.8,140.3,5,6
507,1532684240,23.3,56.2,56,130,5,6
508,1532684538,23.2,56.5,56,108.1,5,6
509,1532684837,23.1,56.6,56,99.8,5,6
510,1532685136,23.1,56.3,56.6,89.7,6,7
511,1532685434,23.1,56.2,68.4,91.6,6,7
512,1532685734,23.1,56.3,69.6,79.8,6,7
513,1532686032,23.1,56.5,70.4,97.3,6,7
514,1532686331,23.2,56.8,69.6,77.3,6,7
515,1532686629,23.3,56.6,71.6,108.7,6,7
516,1532686927,23.5,57.1,67.5,106.9,5,6
517,1532687227,23.7,57.3,68.7,101,5,6
518,1532687464,24,58,465,101,10,11
519,1532687534,24,57.9,465,250,6,7
520,1532687824,24.2,57.5,467.5,142.4,6,7
521,1532688122,24.4,57.7,463.7,135.3,6,7
522,1532688421,24.5,58,463.7,142.8,6,7
523,1532688719,24.7,58.1,463.7,143.8,6,7
524,1532689019,24.9,58.2,465,153.8,6,7
525,1532689317,25.1,58,462.5,153.2,6,7
526,1533108186,25.1,64.3,699.1,67.4,10,11
527,1533108186,25.3,62,644.9,94.5,12,13
528,1533108186,25.1,61.7,642.3,175.6,12,13
529,1533108483,25,61.8,632,302.5,11,12
530,1533108781,25,61.7,637.2,282.1,12,13
531,1533108962,25,62,632,282.1,12,13
532,1533109079,25,61.6,634.6,235.2,13,14
533,1533109377,25,61.2,632,203.5,12,13
534,1533109434,25.1,60.9,628.2,203.5,13,14
535,1533109680,25,60.9,626.9,189.1,10,11
536,1533109975,25,61.7,791.2,163.9,10,11
537,1533110273,25.1,60.3,570.5,165.2,10,11
538,1533110572,25,60.4,568,155,10,11
539,1533110870,24.9,60.6,565.4,140.9,10,11
540,1533111170,24.9,60.7,569.2,128.7,12,13
541,1533111225,24.9,60.5,565.4,128.7,12,13
542,1533111476,25,60.7,585.9,121.2,11,12
543,1533111766,24.9,60.7,589.7,113.6,11,12
544,1533112065,24.9,60.8,584.6,115.9,10,11
545,1533112364,24.9,60.8,585.9,107.1,11,12
546,1533112663,24.9,60.8,585.9,95.8,11,12
547,1533112961,24.9,60.8,585.9,99.4,10,11
548,1533113260,24.9,60.9,585.9,93.4,9,10
549,1533113558,24.9,60.9,585.9,86,10,11
550,1533113857,24.9,60.9,585.9,88.8,11,12
551,1533114155,24.9,61.1,588.4,83.4,11,12
552,1533114454,25,61,585.9,80.3,9,10
553,1533114753,24.9,61.1,585.9,80,12,13
554,1533115051,24.9,61.3,585.9,68.5,12,13
555,1533115349,25.1,62.1,410.8,76,12,13
556,1533115648,25.4,60.7,537.3,86.7,12,13
557,1533115946,25.4,60.6,555.2,91.3,12,13
558,1533116246,25.4,60.5,384.4,93.6,12,13
559,1533116544,25.5,61.2,408.3,88.4,7,8
560,1533116842,25.9,59.3,496.7,96.7,7,8
561,1533117141,25.9,59.5,249.3,91.6,7,8
562,1533117440,25.8,58.8,408.3,87.3,7,8
563,1533117739,25.8,58.9,420.8,89,7,8
564,1533118037,25.5,59.1,368.1,75.6,7,8
565,1533118336,25.4,59.6,644.9,78,10,11
566,1533118634,25.5,59.4,651.3,68.8,10,11
567,1533118932,25.4,59.3,647.5,64.9,10,11
568,1533119232,25.4,59.6,647.5,61.1,10,11
569,1533119530,25.4,59.8,639.7,59,10,11
570,1533119828,25.3,59.8,648.7,49.6,10,11
571,1533120127,25.3,59.9,642.3,41.6,9,10
572,1533120426,25.3,59.7,644.9,49.4,9,10
573,1533120724,25.2,59.7,646.2,38.4,9,10
574,1533121023,25.1,59.8,642.3,25,9,10
575,1533121322,25,59.8,644.9,25,9,10
576,1533121620,25,60,646.2,25,9,10
577,1533121919,24.9,60.1,52.1,25,9,10
578,1533122217,24.8,60,52.4,25,9,10
579,1533122516,24.7,59.4,52.1,25,9,10
580,1533122815,24.6,58.7,50.7,25,9,10
581,1533123113,24.5,58.6,31.3,25,9,10
582,1533123412,24.5,59,52.1,25,9,10
583,1533123710,24.4,60.7,646.2,26.3,10,11
584,1533124008,24.5,61.8,688.7,25,10,11
585,1533124308,24.5,62.3,683.6,28.7,10,11
586,1533124606,24.5,62.6,683.6,38.7,10,11
587,1533124905,24.5,63,681,48.3,10,11
588,1533125203,24.5,63.2,681,49.4,10,11
589,1533125502,24.5,63.3,684.8,53.1,11,12
590,1533125801,24.5,63.5,682.3,56.4,11,12
591,1533126099,24.6,63.4,677.1,62.8,11,12
592,1533126402,24.6,63.3,677.1,65.4,11,12
593,1533126697,24.6,63.2,657.8,71.6,11,12
594,1533126996,24.6,63.2,655.2,75.8,11,12
595,1533127294,24.6,63.3,673.2,79.6,12,13
596,1533127592,24.6,63.4,674.5,82.4,12,13
597,1533127891,24.6,63.4,670.7,92.1,12,13
598,1533128189,24.6,63.2,671.9,94.2,12,13
599,1533128487,24.6,63.1,673.2,91.7,12,13
600,1533128787,24.6,63,668.1,94.3,12,13
601,1533129085,24.6,63.2,674.5,95.5,12,13
602,1533129383,24.6,63.4,671.9,92.4,12,13
603,1533129683,24.6,63.7,668.1,95.6,12,13
604,1533129980,24.6,63.8,670.7,92.1,12,13
605,1533130280,24.6,63.8,670.7,88.7,12,13
606,1533130577,24.6,63.5,673.2,86.6,12,13
607,1533130876,24.5,63.4,670.7,87.2,10,11
608,1533131175,24.5,63.8,668.1,86.6,10,11
609,1533131474,24.5,64.2,674.5,73.1,10,11
610,1533131772,24.5,64.1,673.2,72.7,10,11
611,1533132071,24.5,64.1,670.7,86.1,10,11
612,1533132371,24.5,63.6,668.1,83.2,10,11
613,1533132668,24.5,64.1,673.2,85.2,11,12
614,1533132967,24.5,64,670.7,76.1,11,12
615,1533133265,24.5,64.1,670.7,70.7,11,12
616,1533133565,24.4,64.1,670.7,66.1,11,12
617,1533133863,24.4,63.9,670.7,61.2,11,12
618,1533134161,24.5,63.7,668.1,61,11,12
619,1533134461,24.5,64.1,670.7,68.9,10,11
620,1533134758,24.5,64.1,673.2,80.1,10,11
621,1533135058,24.7,64.4,405.7,78.9,10,11
622,1533135356,24.8,63.5,570.5,96.3,10,11
623,1533135655,24.7,64.4,706.8,94.1,10,11
624,1533135953,24.9,63.8,501.7,104.1,10,11
625,1533136254,25,64.5,565.4,109.2,11,12
626,1533136551,24.8,64.5,557.7,110.3,11,12
627,1533136849,24.4,65.6,552.6,108.3,11,12
628,1533137148,24.1,66.2,551.4,103.5,11,12
629,1533137446,23.9,67,548.8,89.2,11,12
630,1533137746,23.7,68.1,546.3,78.1,11,12
631,1533138044,23.6,70,542.4,59.4,9,10
632,1533138343,23.6,70.9,66.3,72.5,9,10
633,1533138644,23.5,71.7,64.8,58.8,9,10
634,1533138941,23.4,72.3,61.5,56.3,9,10
635,1533191905,22.9,69.4,238.4,0,12,13
636,1533191905,23.3,67.4,876.3,0,12,13
637,1533191905,23.3,67.2,881.5,0,12,13
638,1533191905,23.3,67.1,881.5,0,10,11
639,1533192208,23.4,66.9,882.8,39.8,10,11
640,1533192507,23.3,66.8,882.8,13.9,10,11
